吉利车型,低配价格,高配价格,竞争品牌URL
星越L,13.72,18.52,https://k.autohome.com.cn/compareseries/6004/#pvareaid=3454651
帝豪,6.28,12.98,https://k.autohome.com.cn/compareseries/3556/#pvareaid=3454651
博越,9.18,14.28,https://k.autohome.com.cn/compareseries/3788/#pvareaid=3454651
星瑞,11.37,15.27,https://k.autohome.com.cn/compareseries/5273/#pvareaid=3454651
缤越,7.58,11.98,https://k.autohome.com.cn/compareseries/4701/#pvareaid=3454651
缤瑞,7.98,10.98,https://k.autohome.com.cn/compareseries/4702/#pvareaid=3454651
豪越,10.36,14.26,https://k.autohome.com.cn/compareseries/5073/#pvareaid=3454651
远景X3,4.99,6.89,https://k.autohome.com.cn/compareseries/4481/#pvareaid=3454651
远景X6,7.59,8.99,https://k.autohome.com.cn/compareseries/4133/#pvareaid=3454651
吉利ICON,9.98,13.2,https://k.autohome.com.cn/compareseries/4813/#pvareaid=3454651
星越,12.78,18.78,https://k.autohome.com.cn/compareseries/4982/#pvareaid=3454651
帝豪S,8.49,10.89,https://k.autohome.com.cn/compareseries/6085/#pvareaid=3454651
帝豪L 雷神Hi·X,12.98,14.58,https://k.autohome.com.cn/compareseries/6688/#pvareaid=3454651
帝豪L,9.39,10.99,https://k.autohome.com.cn/compareseries/6333/#pvareaid=3454651
嘉际,11.98,14.28,https://k.autohome.com.cn/compareseries/4396/#pvareaid=3454651
博瑞,13.18,14.38,https://k.autohome.com.cn/compareseries/3589/#pvareaid=3454651
缤越新能源,11.98,13.58,https://k.autohome.com.cn/compareseries/5122/#pvareaid=3454651
星越S,13.57,17.17,https://k.autohome.com.cn/compareseries/6275/#pvareaid=3454651
帝豪新能源,13.58,16.18,https://k.autohome.com.cn/compareseries/4342/#pvareaid=3454651
星越新能源,15.58,19.68,https://k.autohome.com.cn/compareseries/5010/#pvareaid=3454651
嘉际新能源,15.18,17.48,https://k.autohome.com.cn/compareseries/5055/#pvareaid=3454651
博瑞新能源,15.58,16.98,https://k.autohome.com.cn/compareseries/4756/#pvareaid=3454651
帝豪GL新能源,16.88,16.88,https://k.autohome.com.cn/compareseries/4679/#pvareaid=3454651
