,吉利车型,低配价格,高配价格,其它车型,其它车型低配价格,其它车型高配价格
0,星越L,13.72,18.52,坦克300,17.58,30.3
1,星越L,13.72,18.52,宋PLUS新能源,10.55,21.6
2,星越L,13.72,18.52,长安欧尚Z6,9.99,12.9
3,星越L,13.72,18.52,本田CR-V,15.78,28.1
4,帝豪,6.28,12.98,轩逸,8.00,17.8
5,帝豪,6.28,12.98,艾瑞泽5 PLUS,6.20,9.9
6,帝豪,6.28,12.98,荣威i5,5.99,9.9
7,帝豪,6.28,12.98,大众-宝来,7.30,13.9
8,博越,9.18,14.28,哈弗H6,8.40,15.7
9,博越,9.18,14.28,传祺GS4 PLUS,12.68,15.0
10,博越,9.18,14.28,长安CS75 PLUS,10.06,15.4
11,博越,9.18,14.28,荣威RX5,8.48,14.7
12,星瑞,11.37,15.27,思域,10.90,17.0
13,星瑞,11.37,15.27,领克03,12.38,25.6
14,星瑞,11.37,15.27,长安UNI-V,10.15,13.3
15,星瑞,11.37,15.27,大众-宝来,7.30,13.9
16,缤越,7.58,11.98,长安欧尚X5,6.99,11.6
17,缤越,7.58,11.98,传祺GS3,8.00,10.8
18,缤越,7.58,11.98,长安CS55 PLUS,8.60,12.1
19,缤越,7.58,11.98,缤智,9.88,15.9
20,缤瑞,7.98,10.98,轩逸,8.00,17.8
21,缤瑞,7.98,10.98,影豹,10.80,13.8
22,缤瑞,7.98,10.98,长安UNI-V,10.15,13.3
23,缤瑞,7.98,10.98,大众-宝来,7.30,13.9
24,豪越,10.36,14.26,哈弗H6,8.40,15.7
25,豪越,10.36,14.26,长安欧尚X7 PLUS,7.68,13.3
26,豪越,10.36,14.26,长安CS75 PLUS,10.06,15.4
27,豪越,10.36,14.26,瑞虎8,7.18,16.8
28,远景X3,4.99,6.89,长安欧尚X5,6.99,11.6
29,远景X3,4.99,6.89,悦翔,4.00,6.1
30,远景X3,4.99,6.89,EX3 功夫牛,4.67,7.5
31,远景X6,7.59,8.99,哈弗M6,6.00,9.2
32,远景X6,7.59,8.99,长安欧尚X5,6.99,11.6
33,远景X6,7.59,8.99,长安CS55 PLUS,8.60,12.1
34,远景X6,7.59,8.99,五菱星辰,6.89,11.1
35,吉利ICON,9.98,13.2,本田XR-V,10.30,16.5
36,吉利ICON,9.98,13.2,缤智,9.88,15.9
37,吉利ICON,9.98,13.2,大众奥迪-奥迪Q2L,17.60,26.8
38,星越,12.78,18.78,哈弗H6,8.40,15.7
39,星越,12.78,18.78,宋PLUS新能源,10.55,21.6
40,星越,12.78,18.78,长安CS75 PLUS,10.06,15.4
41,星越,12.78,18.78,领克05,17.58,26.9
42,帝豪S,8.49,10.89,坦克300,17.58,30.3
43,帝豪S,8.49,10.89,宋PLUS新能源,10.55,21.6
44,帝豪S,8.49,10.89,长安欧尚Z6,9.99,12.9
45,帝豪S,8.49,10.89,本田CR-V,15.78,28.1
46,帝豪L 雷神Hi·X,12.98,14.58,福克斯,8.79,15.8
47,帝豪L 雷神Hi·X,12.98,14.58,轩逸,8.00,17.8
48,帝豪L 雷神Hi·X,12.98,14.58,大众-速腾,11.60,17.2
49,帝豪L 雷神Hi·X,12.98,14.58,朗逸,6.69,16.5
50,帝豪L 雷神Hi·X,12.98,14.58,大众-宝来,7.30,13.9
51,帝豪L,9.39,10.99,轩逸,8.00,17.8
52,帝豪L,9.39,10.99,艾瑞泽5 PLUS,6.20,9.9
53,帝豪L,9.39,10.99,长安UNI-V,10.15,13.3
54,帝豪L,9.39,10.99,大众-宝来,7.30,13.9
55,嘉际,11.98,14.28,别克GL6,10.99,16.9
56,嘉际,11.98,14.28,宋MAX新能源,14.58,17.2
57,嘉际,11.98,14.28,传祺M6,10.18,15.9
58,嘉际,11.98,14.28,五菱凯捷,7.88,15.0
59,博瑞,13.18,14.38,蒙迪欧,15.28,21.9
60,博瑞,13.18,14.38,雅阁,16.88,25.3
61,博瑞,13.18,14.38,长安UNI-V,10.15,13.3
62,博瑞,13.18,14.38,红旗H5,11.80,19.0
63,缤越新能源,11.98,13.58,本田XR-V,10.30,16.5
64,缤越新能源,11.98,13.58,缤智,9.88,15.9
65,缤越新能源,11.98,13.58,大众奥迪-奥迪Q2L,17.60,26.8
66,星越S,13.57,17.17,哈弗H6,8.40,15.7
67,星越S,13.57,17.17,长安CS75 PLUS,10.06,15.4
68,星越S,13.57,17.17,领克05,17.58,26.9
69,星越S,13.57,17.17,本田CR-V,15.78,28.1
70,帝豪新能源,13.58,16.18,福克斯,8.79,15.8
71,帝豪新能源,13.58,16.18,轩逸,8.00,17.8
72,帝豪新能源,13.58,16.18,大众-速腾,11.60,17.2
73,帝豪新能源,13.58,16.18,朗逸,6.69,16.5
74,帝豪新能源,13.58,16.18,大众-宝来,7.30,13.9
75,星越新能源,15.58,19.68,坦克300,17.58,30.3
76,星越新能源,15.58,19.68,宋PLUS新能源,10.55,21.6
77,星越新能源,15.58,19.68,长安欧尚Z6,9.99,12.9
78,星越新能源,15.58,19.68,本田CR-V,15.78,28.1
79,嘉际新能源,15.18,17.48,途安,11.38,19.4
80,嘉际新能源,15.18,17.48,宋MAX新能源,14.58,17.2
81,嘉际新能源,15.18,17.48,五菱佳辰,8.18,10.5
82,嘉际新能源,15.18,17.48,传祺M6,10.18,15.9
83,嘉际新能源,15.18,17.48,五菱凯捷,7.88,15.0
84,博瑞新能源,15.58,16.98,林肯Z,19.98,39.9
85,博瑞新能源,15.58,16.98,蒙迪欧,15.28,21.9
86,博瑞新能源,15.58,16.98,雅阁,16.88,25.3
87,博瑞新能源,15.58,16.98,奔驰C级,27.00,38.0
88,博瑞新能源,15.58,16.98,大众奥迪-奥迪A4L,25.00,34.2
89,帝豪GL新能源,16.88,16.88,福克斯,8.79,15.8
90,帝豪GL新能源,16.88,16.88,轩逸,8.00,17.8
91,帝豪GL新能源,16.88,16.88,大众-速腾,11.60,17.2
92,帝豪GL新能源,16.88,16.88,朗逸,6.69,16.5
93,帝豪GL新能源,16.88,16.88,大众-宝来,7.30,13.9
